dataset,class_key,support,recall,precision,f1
elpephants,3441,1.0,0.0,0.0,0.0
elpephants,3470,5.0,0.6,0.375,0.46153846153846156
elpephants,3480,1.0,0.0,0.0,0.0
elpephants,3483,2.0,0.5,0.25,0.3333333333333333
elpephants,3503,1.0,0.0,0.0,0.0
elpephants,3507,1.0,0.0,0.0,0.0
elpephants,3550,1.0,0.0,0.0,0.0
elpephants,3552,1.0,0.0,0.0,0.0
elpephants,3637,4.0,0.25,0.125,0.16666666666666666
elpephants,3639,1.0,0.0,0.0,0.0
elpephants,3746,4.0,0.25,1.0,0.4
elpephants,3747,4.0,0.0,0.0,0.0
elpephants,3756,3.0,0.0,0.0,0.0
elpephants,3766,3.0,0.0,0.0,0.0
elpephants,3809,3.0,0.3333333333333333,0.25,0.2857142857142857
elpephants,3817,1.0,0.0,0.0,0.0
elpephants,3819,1.0,0.0,0.0,0.0
elpephants,3883,1.0,0.0,0.0,0.0
elpephants,3886,1.0,0.0,0.0,0.0
elpephants,3897,3.0,0.0,0.0,0.0
elpephants,3898,3.0,0.0,0.0,0.0
elpephants,3901,1.0,0.0,0.0,0.0
elpephants,3917,2.0,0.0,0.0,0.0
elpephants,3999,3.0,0.0,0.0,0.0
elpephants,4030,4.0,0.0,0.0,0.0
elpephants,4031,2.0,0.0,0.0,0.0
elpephants,4033,1.0,0.0,0.0,0.0
elpephants,4048,1.0,0.0,0.0,0.0
elpephants,4054,1.0,0.0,0.0,0.0
elpephants,4083,1.0,0.0,0.0,0.0
elpephants,4084,1.0,1.0,0.3333333333333333,0.5
elpephants,4088,2.0,0.0,0.0,0.0
elpephants,4099,1.0,0.0,0.0,0.0
elpephants,4109,3.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
elpephants,4115,1.0,0.0,0.0,0.0
elpephants,4155,2.0,0.0,0.0,0.0
elpephants,4169,2.0,1.0,0.3333333333333333,0.5
elpephants,4246,1.0,0.0,0.0,0.0
elpephants,4249,1.0,0.0,0.0,0.0
elpephants,4254,1.0,0.0,0.0,0.0
elpephants,4265,1.0,0.0,0.0,0.0
elpephants,4330,2.0,0.0,0.0,0.0
elpephants,4339,2.0,0.5,0.3333333333333333,0.4
elpephants,4345,2.0,0.0,0.0,0.0
elpephants,4428,2.0,0.0,0.0,0.0
elpephants,4729,2.0,0.5,0.25,0.3333333333333333
elpephants,4829,1.0,0.0,0.0,0.0
elpephants,5043,1.0,1.0,1.0,1.0
elpephants,5061,5.0,0.8,0.8,0.8
elpephants,5137,3.0,0.0,0.0,0.0
elpephants,5160,2.0,0.0,0.0,0.0
elpephants,5163,1.0,0.0,0.0,0.0
